league,season,team,player,nation,pos,age,born,MP,Starts,Min,90s,npGoals,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDistance,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,ProgPasses,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CornerKicks,InSwingCK,OutSwingCK,StraightCK,PassesOffside,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,DrbPast,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,TimesTackled,TimesTackled%,Carries,TotalCarryDistance,ProgCarryDistance,ProgCarries,CarriesToFinalThird,CarriesToPenArea,CarryMistakes,Disposesed,ReceivedPass,ProgPassesRec,Yellows,Reds,Yellow2,Fouls,FoulsDrawn,Offside,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
ENG-Premier League,2223,Liverpool,Ben Doak,SCO,FW,16.0,2005.0,2,0,26,0.3,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,1,2,0,1,1,100.0,0,1,0,1,0.0,3.0,0.0,0.0,22,0,4,10,10,2,22,4,0,0.0,4,100.0,16,182,51,1,3,2,1,0,15,4,0,0,0,1,1,0,0,0,0,5,0,0,
ENG-Premier League,2223,Liverpool,Bobby Clark,ENG,MF,17.0,2005.0,1,0,8,0.1,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0.0,0.0,0.0,0.0,7,0,0,0,7,1,7,1,0,0.0,1,100.0,3,3,0,0,0,0,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,
ENG-Premier League,2223,Liverpool,Caoimhín Kelleher,IRL,GK,23.0,1998.0,1,1,90,1.0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,23,24,95.8,539,344,7,7,100.0,12,12,100.0,4,5,80.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,26,18,26,0,0,0,26,0,0,,0,,18,89,62,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2223,Liverpool,Cody Gakpo,NED,"FW,MF",23.0,1999.0,21,17,1458,16.2,7,7,39,12,30.8,2.41,0.74,0.18,0.58,14.8,0,0,0,6.2,6.2,0.16,0.8,0.8,293,392,74.7,3928,1110,168,208,80.8,91,119,76.5,11,20,55.0,2.0,2.7,1.9,-0.7,23.0,33.0,11.0,1.0,50.0,381,9,0,3,0,17,2,4,3,0,0,2,11,49,3.02,37,0,3,4,3,2,6,0.37,5,0,0,0,1,0,26,15,4,13,9,13,38,34.2,25,13,1,12,4.0,30.0,2.0,0.0,591,6,42,266,298,76,591,48,23,47.9,13,27.1,374,2069,1134,36,32,12,43,36,448,109,0,0,0,26,33,8,1,0,0,57,26,24,52.0
ENG-Premier League,2223,Liverpool,Curtis Jones,ENG,MF,21.0,2001.0,18,12,1035,11.5,3,3,15,5,33.3,1.3,0.43,0.2,0.6,17.9,0,0,0,1.2,1.2,0.08,1.8,1.8,611,677,90.3,9160,1895,334,355,94.1,233,250,93.2,25,32,78.1,1.0,1.1,1.4,-0.1,14.0,53.0,14.0,1.0,69.0,664,12,2,5,3,9,9,0,0,0,0,1,7,38,3.3,31,0,4,1,1,1,4,0.35,3,0,1,0,0,0,34,17,8,12,14,18,31,58.1,13,12,2,10,3.0,37.0,9.0,0.0,821,14,105,417,304,40,821,30,11,36.7,13,43.3,550,2645,1011,31,15,11,22,29,627,75,2,0,0,13,16,2,0,0,0,56,3,6,33.3
ENG-Premier League,2223,Liverpool,Darwin Núñez,URU,FW,23.0,1999.0,29,19,1695,18.8,9,9,84,35,41.7,4.46,1.86,0.11,0.26,15.1,0,0,0,12.1,12.1,0.14,-3.1,-3.1,258,401,64.3,3922,852,130,184,70.7,80,117,68.4,21,30,70.0,3.0,5.4,2.8,-2.4,28.0,11.0,12.0,1.0,29.0,386,11,0,2,8,18,8,1,0,0,0,4,22,54,2.87,35,1,4,7,7,0,3,0.16,2,0,0,0,1,0,11,5,2,4,5,4,17,23.5,13,10,0,10,3.0,14.0,13.0,0.0,633,12,51,179,412,154,633,44,18,40.9,19,43.2,387,2795,1408,61,33,31,41,27,491,181,1,1,0,25,17,17,1,0,0,44,36,51,41.4
ENG-Premier League,2223,Liverpool,Diogo Jota,POR,FW,25.0,1996.0,22,12,1131,12.6,7,7,35,11,31.4,2.79,0.88,0.2,0.64,11.7,0,0,0,6.5,6.5,0.19,0.5,0.5,286,381,75.1,3868,886,172,216,79.6,87,109,79.8,10,20,50.0,4.0,2.1,1.7,1.9,17.0,28.0,8.0,2.0,30.0,379,2,0,3,1,8,0,0,0,0,0,0,14,33,2.63,23,0,3,5,2,0,5,0.4,4,0,1,0,0,0,23,15,8,8,7,12,37,32.4,25,5,0,5,3.0,26.0,11.0,0.0,550,21,71,235,252,73,550,39,14,35.9,21,53.8,339,1938,1067,34,26,14,34,19,403,104,2,0,0,19,15,3,1,0,0,60,18,26,40.9
ENG-Premier League,2223,Liverpool,Fabinho,BRA,MF,28.0,1993.0,36,31,2671,29.7,0,0,18,4,22.2,0.61,0.13,0.0,0.0,22.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,1617,1832,88.3,26192,6163,817,882,92.6,627,680,92.2,125,180,69.4,2.0,2.1,1.9,-0.1,17.0,131.0,17.0,0.0,161.0,1789,38,31,5,6,5,7,0,0,0,0,5,18,55,1.85,49,0,0,1,2,3,8,0.27,7,0,0,0,1,0,65,38,18,40,7,24,62,38.7,38,38,11,27,37.0,102.0,40.0,0.0,2092,83,456,1314,325,21,2092,15,7,46.7,4,26.7,1184,4669,1913,15,28,1,17,12,1493,39,11,0,0,53,24,0,0,0,0,180,30,21,58.8
ENG-Premier League,2223,Liverpool,Fabio Carvalho,POR,"MF,FW",19.0,2002.0,13,4,347,3.9,2,2,11,4,36.4,2.85,1.04,0.18,0.5,11.5,0,0,0,1.1,1.1,0.1,0.9,0.9,117,143,81.8,1555,281,72,84,85.7,30,37,81.1,5,6,83.3,0.0,0.1,0.3,-0.1,1.0,7.0,2.0,0.0,12.0,140,2,0,0,0,2,1,0,0,0,0,1,3,9,2.33,5,0,0,2,2,0,2,0.52,1,0,0,1,0,0,8,8,3,3,2,3,6,50.0,3,6,0,6,6.0,14.0,0.0,0.0,193,2,31,75,91,26,193,6,2,33.3,3,50.0,122,568,255,9,9,2,11,15,145,26,0,0,0,6,6,0,0,0,0,19,4,10,28.6
ENG-Premier League,2223,Liverpool,Harvey Elliott,ENG,"MF,FW",19.0,2003.0,32,18,1613,17.9,1,1,36,12,33.3,2.01,0.67,0.03,0.08,19.3,0,0,0,2.1,2.1,0.06,-1.1,-1.1,809,1009,80.2,12346,3197,442,494,89.5,296,363,81.5,45,85,52.9,2.0,3.6,4.3,-1.6,26.0,68.0,41.0,6.0,142.0,962,39,0,8,4,34,10,2,1,0,0,8,24,75,4.19,62,1,5,5,1,1,10,0.56,10,0,0,0,0,0,27,18,6,12,9,9,36,25.0,27,26,1,25,15.0,42.0,8.0,0.0,1194,14,147,566,491,50,1194,42,19,45.2,15,35.7,759,3981,1943,54,40,10,26,23,867,129,2,0,0,14,25,2,0,0,0,122,4,16,20.0
